DATE,SP57BOND,,,,,,,,
11/26/10,442.54,,,,,,,,
11/29/10,443.14,,,,,,,,
11/30/10,443.97,,,,,,,,
12/1/10,439.67,,,,,,,,
12/2/10,438.75,,,,,,,,
12/3/10,439.65,,,,,,,,
12/6/10,441.84,,,,,,,,
12/7/10,436.41,,,,,,,,
12/8/10,433.42,,,,,,,,
12/9/10,432.73,,,,,,,,
12/10/10,430.64,,,,,,,,
12/13/10,432.49,,,,,,,,
12/14/10,429.1,,,,,,,,
12/15/10,428.03,,,,,,,,
12/16/10,429.21,,,,,,,,
12/17/10,431.91,,,,,,,,
12/20/10,432,,,,,,,,
12/21/10,432.3,,,,,,,,
12/22/10,431.25,,,,,,,,
12/23/10,430.19,,,,,,,,
12/27/10,430.84,,,,,,,,
12/28/10,427.77,,,,,,,,
12/29/10,431.51,,,,,,,,
12/30/10,430.88,,,,,,,,
12/31/10,432.24,,,,,,,,
1/3/11,431.74,,,,,,,,
1/4/11,432.16,,,,,,,,
1/5/11,429.04,,,,,,,,
1/6/11,430.43,,,,,,,,
1/7/11,433.02,,,,,,,,
1/10/11,434.2,,,,,,,,
1/11/11,433.09,,,,,,,,
1/12/11,432.7,,,,,,,,
1/13/11,434.76,,,,,,,,
1/14/11,434.22,,,,,,,,
1/18/11,433.39,,,,,,,,
1/19/11,433.9,,,,,,,,
1/20/11,431.36,,,,,,,,
1/21/11,432.31,,,,,,,,
1/24/11,432.34,,,,,,,,
1/25/11,434.06,,,,,,,,
1/26/11,432.5,,,,,,,,
1/27/11,433.51,,,,,,,,
1/28/11,436.06,,,,,,,,
1/31/11,434.19,,,,,,,,
2/1/11,432.49,,,,,,,,
2/2/11,431.28,,,,,,,,
2/3/11,429.52,,,,,,,,
2/4/11,427.37,,,,,,,,
2/7/11,427.03,,,,,,,,
2/8/11,424.77,,,,,,,,
2/9/11,426.27,,,,,,,,
2/10/11,425.03,,,,,,,,
2/11/11,426.39,,,,,,,,
2/14/11,426.3,,,,,,,,
2/15/11,426.9,,,,,,,,
2/16/11,426.53,,,,,,,,
2/17/11,427.95,,,,,,,,
2/18/11,428.2,,,,,,,,
2/22/11,431.51,,,,,,,,
2/23/11,430.68,,,,,,,,
2/24/11,430.99,,,,,,,,
2/25/11,432.07,,,,,,,,
